X,Y,OBJECTID_1,OBJECTID,CODIGO,CENTRO,DIRECCION,DISTRITO,TX_DISTRIT,ARCOS,CAPACIDAD,MODELO,TITULAR,ESTADO,OBSERVACIO,FOTO,FECHA_FOTO,FUENTE_FOT,FUENTE,ID_INFORMO,ID_OBRAS,CODIGO_GEN,ELIMINADO,enplanos,CMUN,CPROV,ESTACION,SENALIZ,LOCAL_ID,Count_
440729.7004,4479015.7457,214,168,PBI_06008,"Metro ""Tetuán""","Pensamiento, 2",06,TETUAN,5,10,1,AYUNTAMIENTO MADRID, , ,PBI_06008.jpg,2011/01/31 00:00:00+00,Central de Movilidad,INFORMOMADRID,168,209,0,0,1,079,28,,,,1
448609.4634,4478165.2166,215,402,PBI_16013,Junto a carril bici,"Av. Logroño, 16",16,HORTALEZA,5,10,1,AYUNTAMIENTO MADRID, , ,PBI_16013.jpg,2010/09/03 00:00:00+00,Central de Movilidad,INFORMOMADRID,402,636,1,0,1,079,28,,,,1
446735.2566,4477656.6997,216,403,PBI_20012,Oficinas 3M,"Juan Ignacio Luca de Tena, 21",20,SAN BLAS,5,10,1,AYUNTAMIENTO MADRID, , ,PBI_20012.jpg,2010/09/03 00:00:00+00,Central de Movilidad,INFORMOMADRID,403,0,1,0,1,079,28,,,,1
444714.4487,4476315.2819,217,404,PBI_15012,"Parque ""Calero""",José del Hierro,15,CIUDAD LINEAL,5,10,1,AYUNTAMIENTO MADRID, , ,PBI_15012.jpg,2010/08/31 00:00:00+00,Central de Movilidad,INFORMOMADRID,404,562,0,0,1,079,28,,,,1
444732.1634,4476284.9219,218,405,PBI_15013,"Parque ""Calero""",Virgen de Nuria,15,CIUDAD LINEAL,5,10,1,AYUNTAMIENTO MADRID, , ,PBI_15013.jpg,2010/08/31 00:00:00+00,Central de Movilidad,INFORMOMADRID,405,0,0,0,1,079,28,,,,1
445139.0202,4480211.9336,219,406,PBI_16012,"CEIP ""Pablo Picasso""","Angel Luis de la Herrán, 35",16,HORTALEZA,5,10,1,AYUNTAMIENTO MADRID, , ,PBI_16012.jpg,,INFORMOMADRID,INFORMOMADRID,406,591,0,0,1,079,28,,,,1
439511.4996,4482525.335,220,407,PBI_08017,"CEIP ""Mirasierra""","La Masó, 22",08,FUENCARRAL-EL PARDO,5,10,1,AYUNTAMIENTO MADRID, , ,PBI_08017.jpg,2011/02/12 00:00:00+00,Central de Movilidad,INFORMOMADRID,407,321,0,0,1,079,28,,,,1
446378.4978,4475613.5724,221,408,PBI_15014,"Colegio ""Jesús María""","Hermanos Gracía Noblejas, 68",15,CIUDAD LINEAL,5,10,1, , , ,PBI_15014.jpg,2010/08/11 00:00:00+00,Central de Movilidad,INFORMOMADRID,408,0,1,0,1,079,28,,,,1
441251.2552,4477961.7206,222,409,PBI_06022,AZCA,Plaza de Carlos Trías Bertrán,06,TETUAN,15,15,8, , , ,PBI_06022.jpg,2011/01/08 00:00:00+00,Central de Movilidad,INFORMOMADRID,409,877,0,0,1,079,28,,,,1
441024.5587,4477875.4226,223,410,PBI_06023,"Colegio ""Patrocinio de San José""","Orense, 15",06,TETUAN,5,10,1,AYUNTAMIENTO MADRID, , ,PBI_06023.jpg,2011/01/08 00:00:00+00,Central de Movilidad,INFORMOMADRID,410,219,0,0,1,079,28,,,,1
441033.6894,4477024.7092,224,411,PBI_07023,Liceo Italiano,Agustín de Betancourt y Ríos Rosas,07,CHAMBERI,5,10,1,AYUNTAMIENTO MADRID, , ,PBI_07023.jpg,2011/01/02 00:00:00+00,Central de Movilidad,INFORMOMADRID,411,254,0,0,1,079,28,,,,1
440670.9343,4474730.366,225,412,PBI_01041,Plaza de Vázquez de Mella,Plaza de Vázquez de Mella,01,CENTRO,5,10,1,AYUNTAMIENTO MADRID, , ,PBI_01041.jpg,2010/09/24 00:00:00+00,Central de Movilidad,INFORMOMADRID,412,1,0,0,1,079,28,,,,1
440550.6135,4474998.7195,226,413,PBI_01042,Zona peatonal Fuencarral,"Fuencarral, 45",01,CENTRO,3,6,1,AYUNTAMIENTO MADRID, , ,PBI_01042.jpg,2010/09/24 00:00:00+00,Central de Movilidad,INFORMOMADRID,413,4,0,0,1,079,28,,,,1
440551.0798,4474966.0652,227,414,PBI_01043,Zona peatonal Fuencarral,"Fuencarral, 42",01,CENTRO,3,6,1,AYUNTAMIENTO MADRID, , ,PBI_01043.jpg,2010/09/24 00:00:00+00,Central de Movilidad,INFORMOMADRID,414,5,0,0,1,079,28,,,,1
440539.6699,4474875.4795,228,415,PBI_01044,Zona peatonal Fuencarral,"Fuencarral, 35",01,CENTRO,3,6,1,AYUNTAMIENTO MADRID, , ,PBI_01044.jpg,2010/09/24 00:00:00+00,Central de Movilidad,INFORMOMADRID,415,6,0,0,1,079,28,,,,1
440527.9307,4474821.9973,229,416,PBI_01045,Zona peatonal Fuencarral,"Fuencarral, 29",01,CENTRO,3,6,1,AYUNTAMIENTO MADRID, , ,PBI_01045.jpg,2010/09/24 00:00:00+00,Central de Movilidad,INFORMOMADRID,416,7,0,0,1,079,28,,,,1
440493.4368,4474675.4671,230,417,PBI_01046,Zona peatonal Fuencarral,"Fuencarral, 6",01,CENTRO,3,6,1,AYUNTAMIENTO MADRID, , ,PBI_01046.jpg,2010/09/24 00:00:00+00,Central de Movilidad,INFORMOMADRID,417,3,0,0,1,079,28,,,,1
441745.8971,4475061.0983,231,418,PBI_04015,Claudio Coello,"Claudio Coello, 30",04,SALAMANCA,3,6,2,AYUNTAMIENTO MADRID,1,Falta 1 arco,PBI_04015.jpg,2011/01/02 00:00:00+00,Central de Movilidad,INFORMOMADRID,418,0,0,0,1,079,28,,,,1
442588.2959,4477859.3549,232,419,PBI_05031,"Parque ""Berlín""",Doctor Marco Corera,05,CHAMARTIN,5,10,1,AYUNTAMIENTO MADRID, , ,PBI_05031.jpg,2011/01/02 00:00:00+00,Central de Movilidad,INFORMOMADRID,419,171,0,0,1,079,28,,,,1
443405.0113,4476460.8374,233,420,PBI_04020,"Colegio Público ""La Guindalera""",Camilo José Cela,04,SALAMANCA,3,6,1,AYUNTAMIENTO MADRID, , ,PBI_04020.jpg,2010/08/31 00:00:00+00,Central de Movilidad,DG PLANIFICACION,0,119,1,0,1,079,28,,,,1
443397.9215,4476197.9405,234,421,PBI_04018,Francisco Santos,"Francisco Santos, 23",04,SALAMANCA,5,10,1,AYUNTAMIENTO MADRID, , ,PBI_04018.jpg,2010/08/31 00:00:00+00,Central de Movilidad,DG PLANIFICACION,0,120,1,0,1,079,28,,,,1
443377.1518,4475780.9454,235,422,PBI_04021,"Parque ""Eva Duarte de Perón""","Florestán Aguilar, 13",04,SALAMANCA,5,10,1,AYUNTAMIENTO MADRID, , ,PBI_04021.jpg,2010/08/31 00:00:00+00,Central de Movilidad,DG PLANIFICACION,0,121,1,0,1,079,28,,,,1
443251.8732,4476168.7409,236,423,PBI_04022,"Biblioteca ""Manuel Alvar""","Azcona, 42",04,SALAMANCA,5,10,1,AYUNTAMIENTO MADRID, , , ,, ,DG PLANIFICACION,0,123,1,0,1,079,28,,,,1
